time_ms,Subject,Channel,value
-100.0,7244_4_ants_ERN_err.dat,FCz,0.115102
-98.0,7244_4_ants_ERN_err.dat,FCz,-0.0616286
-96.0,7244_4_ants_ERN_err.dat,FCz,-0.244268
-94.0,7244_4_ants_ERN_err.dat,FCz,-0.425684
-92.0,7244_4_ants_ERN_err.dat,FCz,-0.598397
-90.0,7244_4_ants_ERN_err.dat,FCz,-0.755126
-88.0,7244_4_ants_ERN_err.dat,FCz,-0.889673
-86.0,7244_4_ants_ERN_err.dat,FCz,-0.997518
-84.0,7244_4_ants_ERN_err.dat,FCz,-1.07615
-82.0,7244_4_ants_ERN_err.dat,FCz,-1.12491
-80.0,7244_4_ants_ERN_err.dat,FCz,-1.14496
-78.0,7244_4_ants_ERN_err.dat,FCz,-1.13877
-76.0,7244_4_ants_ERN_err.dat,FCz,-1.10974
-74.0,7244_4_ants_ERN_err.dat,FCz,-1.06207
-72.0,7244_4_ants_ERN_err.dat,FCz,-1.00042
-70.0,7244_4_ants_ERN_err.dat,FCz,-0.929766
-68.0,7244_4_ants_ERN_err.dat,FCz,-0.855112
-66.0,7244_4_ants_ERN_err.dat,FCz,-0.781206
-64.0,7244_4_ants_ERN_err.dat,FCz,-0.711853
-62.0,7244_4_ants_ERN_err.dat,FCz,-0.64955
-60.0,7244_4_ants_ERN_err.dat,FCz,-0.594971
-58.0,7244_4_ants_ERN_err.dat,FCz,-0.54665
-56.0,7244_4_ants_ERN_err.dat,FCz,-0.50082
-54.0,7244_4_ants_ERN_err.dat,FCz,-0.451772
-52.0,7244_4_ants_ERN_err.dat,FCz,-0.392219
-50.0,7244_4_ants_ERN_err.dat,FCz,-0.314355
-48.0,7244_4_ants_ERN_err.dat,FCz,-0.211003
-46.0,7244_4_ants_ERN_err.dat,FCz,-0.0769671
-44.0,7244_4_ants_ERN_err.dat,FCz,0.0895997
-42.0,7244_4_ants_ERN_err.dat,FCz,0.286236
-40.0,7244_4_ants_ERN_err.dat,FCz,0.506032
-38.0,7244_4_ants_ERN_err.dat,FCz,0.738178
-36.0,7244_4_ants_ERN_err.dat,FCz,0.969035
-34.0,7244_4_ants_ERN_err.dat,FCz,1.184
-32.0,7244_4_ants_ERN_err.dat,FCz,1.36894
-30.0,7244_4_ants_ERN_err.dat,FCz,1.5119
-28.0,7244_4_ants_ERN_err.dat,FCz,1.604
-26.0,7244_4_ants_ERN_err.dat,FCz,1.64043
-24.0,7244_4_ants_ERN_err.dat,FCz,1.62063
-22.0,7244_4_ants_ERN_err.dat,FCz,1.54813
-20.0,7244_4_ants_ERN_err.dat,FCz,1.43
